t,date,polarization,opinion_mean,opinion_std,volume
0,2023-01-01,0.2948,0.464,0.1142,153
1,2023-01-02,0.3243,0.4527,0.1186,197
2,2023-01-03,0.2884,0.4776,0.1133,204
3,2023-01-04,0.3102,0.5124,0.1165,210
4,2023-01-05,0.2944,0.4451,0.1142,35
5,2023-01-06,0.2786,0.509,0.1118,220
6,2023-01-07,0.3275,0.3955,0.1191,219
7,2023-01-08,0.3243,0.5066,0.1186,139
8,2023-01-09,0.315,0.5214,0.1173,30
9,2023-01-10,0.3289,0.5232,0.1193,268
10,2023-01-11,0.3547,0.492,0.1232,219
11,2023-01-12,0.3457,0.4955,0.1219,213
12,2023-01-13,0.3554,0.528,0.1233,90
13,2023-01-14,0.3182,0.4682,0.1177,141
14,2023-01-15,0.2992,0.4768,0.1149,285
15,2023-01-16,0.278,0.4879,0.1117,172
16,2023-01-17,0.2301,0.5353,0.1045,48
17,2023-01-18,0.1768,0.5578,0.0965,126
18,2023-01-19,0.12,0.5374,0.088,222
19,2023-01-20,0.1048,0.4599,0.0857,268
20,2023-01-21,0.0917,0.5702,0.0838,243
21,2023-01-22,0.0741,0.5228,0.0811,232
22,2023-01-23,0.0681,0.5837,0.0802,69
23,2023-01-24,0.0201,0.5389,0.073,276
24,2023-01-25,0.01,0.5772,0.0715,71
25,2023-01-26,0.01,0.5428,0.0715,136
26,2023-01-27,0.0245,0.5232,0.0737,239
27,2023-01-28,0.01,0.5466,0.0715,226
28,2023-01-29,0.01,0.5064,0.0715,231
29,2023-01-30,0.01,0.5802,0.0715,208
30,2023-01-31,0.01,0.6379,0.0715,67
31,2023-02-01,0.01,0.5622,0.0715,218
32,2023-02-02,0.01,0.528,0.0715,167
33,2023-02-03,0.048,0.5657,0.0772,49
34,2023-02-04,0.01,0.626,0.0715,275
35,2023-02-05,0.039,0.555,0.0759,57
36,2023-02-06,0.0538,0.5495,0.0781,138
37,2023-02-07,0.0494,0.4869,0.0774,240
38,2023-02-08,0.0682,0.5673,0.0802,55
39,2023-02-09,0.089,0.5508,0.0834,186
40,2023-02-10,0.1254,0.5336,0.0888,81
41,2023-02-11,0.1235,0.5621,0.0885,92
42,2023-02-12,0.1107,0.6182,0.0866,207
43,2023-02-13,0.0976,0.5247,0.0846,201
44,2023-02-14,0.073,0.5259,0.081,68
45,2023-02-15,0.0766,0.5707,0.0815,96
46,2023-02-16,0.0581,0.5729,0.0787,130
47,2023-02-17,0.0951,0.541,0.0843,185
48,2023-02-18,0.044,0.5415,0.0766,238
49,2023-02-19,0.0162,0.5043,0.0724,76
50,2023-02-20,0.01,0.5022,0.0715,95
51,2023-02-21,0.01,0.5518,0.0715,294
52,2023-02-22,0.0721,0.5442,0.0808,134
53,2023-02-23,0.01,0.4919,0.0715,30
54,2023-02-24,0.01,0.582,0.0715,67
55,2023-02-25,0.01,0.5849,0.0715,135
56,2023-02-26,0.0647,0.5132,0.0797,165
57,2023-02-27,0.0101,0.6115,0.0715,95
58,2023-02-28,0.0473,0.5218,0.0771,149
59,2023-03-01,0.0303,0.5204,0.0745,249
